CategoryID,CategoryName,TopicID,TopicName,TopicDifficult,TileID,TileName,TileImg
,,65,Smoothies,Normal,1,Berry Smoothie,
,,,,,2,Tropical Smoothie,
,,,,,3,Green Smoothie,
,,,,,4,Protein Shake,
,,66,Cocktails,Normal,1,Mojito,
,,,,,2,Margarita,
,,,,,3,Old Fashioned,
,,,,,4,Martini,
,,67,Mocktails,Normal,1,Virgin Mary,
,,,,,2,Nojito,
,,,,,3,Sparkling Lemonade,
,,,,,4,Cucumber Cooler,
,,68,Milk Drinks,Normal,1,Milkshake,
,,,,,2,Chocolate Milk,
,,,,,3,Bubble Tea,
,,,,,4,Horchata,
,,69,Energy Drinks,Normal,1,Energy Shot,
,,,,,2,Sports Drink,
,,,,,3,Citrus Booster,
,,,,,4,Berry Blast,
,,70,Craft Beer,Normal,1,Pale Ale,
,,,,,2,Ipa,
,,,,,3,Stout,
,,,,,4,Wheat Beer,
,,71,Wines,Normal,1,Cabernet,
,,,,,2,Merlot,
,,,,,3,Chardonnay,
,,,,,4,Riesling,
,,72,Winter Warmers,Normal,1,Hot Chocolate,
,,,,,2,Spiced Cider,
,,,,,3,Mulled Wine,
,,,,,4,Buttered Rum,
,,73,Summer Sips,Normal,1,Iced Tea,
,,,,,2,Lemonade,
,,,,,3,Agua Fresca,
,,,,,4,Arnold Palmer,
,,74,Hydration,Normal,1,Sparkling Water,
,,,,,2,Mineral Water,
,,,,,3,Coconut Water,
,,,,,4,Aloe Drink,
,,75,Fermented Drinks,Normal,1,Kombucha,
,,,,,2,Kvass,
,,,,,3,Kefir,
,,,,,4,Ginger Beer,
,,76,Brunch Drinks,Normal,1,Bloody Mary,
,,,,,2,Bellini,
,,,,,3,Mimosa,
,,,,,4,Irish Coffee,
,,77,Cafe Specials,Normal,1,Flat White,
,,,,,2,Cortado,
,,,,,3,Affogato,
,,,,,4,Macchiato,
,,78,Tea Lattes,Normal,1,Chai Latte,
,,,,,2,Matcha Latte,
,,,,,3,London Fog,
,,,,,4,Royal Milk Tea,
,,79,Protein Drinks,Normal,1,Casein Shake,
,,,,,2,Soy Shake,
,,,,,3,Pea Protein,
,,,,,4,Whey Smoothie,
,,80,Kid Favorites,Normal,1,Fruit Punch,
,,,,,2,Apple Cider,
,,,,,3,Grape Soda,
,,,,,4,Orange Soda,
5,Animals,81,Savannah Animals,Normal,1,Lion,
,,,,,2,Cheetah,
,,,,,3,Gazelle,
,,,,,4,Wildebeest,
,,82,Rainforest Life,Normal,1,Jaguar,
,,,,,2,Tapir,
,,,,,3,Capybara,
,,,,,4,Macaw,
,,83,Ocean Creatures,Normal,1,Dolphin,
,,,,,2,Octopus,
,,,,,3,Stingray,
,,,,,4,Seahorse,
,,84,Arctic Wildlife,Normal,1,Polar Bear,
,,,,,2,Walrus,
,,,,,3,Narwhal,
,,,,,4,Arctic Fox,
,,85,Birds of Prey,Normal,1,Eagle,
,,,,,2,Falcon,
,,,,,3,Hawk,
,,,,,4,Osprey,
,,86,Desert Animals,Normal,1,Camel,
,,,,,2,Fennec Fox,
,,,,,3,Meerkat,
,,,,,4,Jerboa,
,,87,Farm Animals,Normal,1,Cow,
,,,,,2,Sheep,
,,,,,3,Goat,
,,,,,4,Pig,
,,88,Reptiles,Normal,1,Komodo Dragon,
,,,,,2,Iguana,
,,,,,3,Python,
,,,,,4,Crocodile,
,,89,Amphibians,Normal,1,Tree Frog,
,,,,,2,Salamander,
,,,,,3,Axolotl,
,,,,,4,Newt,
,,90,Primates,Normal,1,Chimpanzee,
,,,,,2,Orangutan,
,,,,,3,Baboon,
,,,,,4,Lemur,
,,91,Marsupials,Normal,1,Kangaroo,
,,,,,2,Koala,
,,,,,3,Wallaby,
,,,,,4,Wombat,
,,92,Coral Reef,Normal,1,Clownfish,
,,,,,2,Parrotfish,
,,,,,3,Moray Eel,
,,,,,4,Pufferfish,
,,93,Mountain Fauna,Normal,1,Ibex,
,,,,,2,Snow Leopard,
,,,,,3,Yak,
,,,,,4,Marmot,
,,94,Deep Sea,Normal,1,Anglerfish,
,,,,,2,Vampire Squid,
,,,,,3,Lanternfish,
,,,,,4,Gulper Eel,
,,95,Grassland Birds,Normal,1,Ostrich,
,,,,,2,Emu,
,,,,,3,Cassowary,
,,,,,4,Rhea,
,,96,Insects,Normal,1,Stag Beetle,
,,,,,2,Dragonfly,
,,,,,3,Mantis,
,,,,,4,Firefly,
,,97,Pollinators,Normal,1,Honeybee,
,,,,,2,Bumblebee,
,,,,,3,Hoverfly,
,,,,,4,Hummingbird,
,,98,Aquatic Mammals,Normal,1,Manatee,
,,,,,2,Beluga,
,,,,,3,Sea Otter,
,,,,,4,Fur Seal,
,,99,Forest Dwellers,Normal,1,Moose,
,,,,,2,Raccoon,
,,,,,3,Porcupine,
,,,,,4,Bobcat,
,,100,Island Species,Normal,1,Galapagos Finch,
,,,,,2,Marine Iguana,
,,,,,3,Albatross,
,,,,,4,Giant Tortoise,
6,Pets,101,Dog Breeds,Normal,1,Labrador,
,,,,,2,Beagle,
,,,,,3,Poodle,
,,,,,4,Bulldog,
,,102,Cat Breeds,Normal,1,Siamese,
,,,,,2,Maine Coon,
,,,,,3,Persian,
,,,,,4,Bengal Cat,
,,103,Small Mammals,Normal,1,Hamster,
,,,,,2,Guinea Pig,
,,,,,3,Ferret,
,,,,,4,Chinchilla,
,,104,Aquarium Fish,Normal,1,Goldfish,
,,,,,2,Betta,
,,,,,3,Angelfish,
,,,,,4,Molly,
,,105,Bird Companions,Normal,1,Parakeet,
,,,,,2,Cockatiel,
,,,,,3,Lovebird,
,,,,,4,Canary,
,,106,Reptile Pets,Normal,1,Leopard Gecko,
,,,,,2,Corn Snake,
,,,,,3,Bearded Dragon,
,,,,,4,Red-Eared Slider,
,,107,Working Dogs,Normal,1,German Shepherd,
,,,,,2,Border Collie,
,,,,,3,Rottweiler,
,,,,,4,Doberman,
,,108,Toy Dogs,Normal,1,Pomeranian,
,,,,,2,Shih Tzu,
,,,,,3,Chihuahua,
,,,,,4,Yorkshire Terrier,
,,109,Herding Dogs,Normal,1,Australian Shepherd,
,,,,,2,Corgi,
,,,,,3,Sheltie,
,,,,,4,Old English Sheepdog,
,,110,Rare Cats,Normal,1,Sphynx Cat,
,,,,,2,British Shorthair,
,,,,,3,Scottish Fold,
,,,,,4,Ragdoll,
,,111,Rabbit Breeds,Normal,1,Lop Rabbit,
,,,,,2,Rex Rabbit,
,,,,,3,Lionhead Rabbit,
,,,,,4,Dutch Rabbit,
,,112,Pet Accessories,Normal,1,Collar,
,,,,,2,Leash,
,,,,,3,Cat Tree,
,,,,,4,Litter Box,
,,113,Pet Treats,Normal,1,Dental Chew,
,,,,,2,Jerky Strip,
,,,,,3,Catnip Toy,
,,,,,4,Seed Stick,
,,114,Pet Habitats,Normal,1,Fish Tank,
,,,,,2,Birdcage,
,,,,,3,Terrarium,
,,,,,4,Hutch,
,,115,Training Gear,Normal,1,Clicker,
,,,,,2,Treat Pouch,
,,,,,3,Training Pad,
,,,,,4,Agility Tunnel,
,,116,Pet Services,Normal,1,Grooming,
,,,,,2,Boarding,
,,,,,3,Dog Walking,
,,,,,4,Vet Visit,
,,117,Pet Health,Normal,1,Flea Collar,
,,,,,2,Heartworm Pill,
,,,,,3,Scratching Post,
,,,,,4,Water Fountain,
,,118,Pet Games,Normal,1,Fetch Ball,
,,,,,2,Laser Pointer,
,,,,,3,Feather Wand,
,,,,,4,Chew Rope,
,,119,Pet Beds,Normal,1,Orthopedic Bed,
,,,,,2,Heated Pad,
,,,,,3,Window Perch,
,,,,,4,Crate Mat,
,,120,Pet Nutrition,Normal,1,Kibble,
,,,,,2,Wet Food,
,,,,,3,Hay Bale,
,,,,,4,Pellet Mix,
7,Nature & Plants,121,Forest Trees,Normal,1,Oak,
,,,,,2,Maple,
,,,,,3,Pine,
,,,,,4,Birch,
,,122,Wildflowers,Normal,1,Daisy,
,,,,,2,Violet,
,,,,,3,Poppy,
,,,,,4,Bluebell,
,,123,Desert Plants,Normal,1,Saguaro,
,,,,,2,Yucca,
,,,,,3,Ocotillo,
,,,,,4,Prickly Pear Cactus,
,,124,Wetland Plants,Normal,1,Cattail,
,,,,,2,Lotus,
,,,,,3,Pickerelweed,
,,,,,4,Water Lily,
,,125,Mountain Flora,Normal,1,Edelweiss,
,,,,,2,Larkspur,
,,,,,3,Alpine Aster,
,,,,,4,Glacier Lily,
,,126,Grasses,Normal,1,Fescue,
,,,,,2,Bermuda Grass,
,,,,,3,Switchgrass,
,,,,,4,Ryegrass,
,,127,Ferns,Normal,1,Maidenhair Fern,
,,,,,2,Bracken,
,,,,,3,Ostrich Fern,
,,,,,4,Sword Fern,
,,128,Garden Shrubs,Normal,1,Azalea,
,,,,,2,Hydrangea,
,,,,,3,Rhododendron,
,,,,,4,Boxwood,
,,129,Climbing Plants,Normal,1,Ivy,
,,,,,2,Wisteria,
,,,,,3,Clematis,
,,,,,4,Honeysuckle,
,,130,Medicinal Herbs,Normal,1,Echinacea,
,,,,,2,Lavender,
,,,,,3,Chamomile Flower,
,,,,,4,Peppermint,
,,131,Trees with Cones,Normal,1,Spruce,
,,,,,2,Cedar,
,,,,,3,Fir,
,,,,,4,Cypress,
,,132,Groundcovers,Normal,1,Creeping Thyme,
,,,,,2,Periwinkle,
,,,,,3,Ajuga,
,,,,,4,Sedum,
,,133,Rainforest Plants,Normal,1,Bromeliad,
,,,,,2,Monstera,
,,,,,3,Philodendron,
,,,,,4,Ginger Lily,
,,134,Wetland Trees,Normal,1,Bald Cypress,
,,,,,2,Willow,
,,,,,3,Mangrove,
,,,,,4,Cottonwood,
,,135,Edible Plants,Normal,1,Rhubarb,
,,,,,2,Watercress Plant,
,,,,,3,Sorrel,
,,,,,4,Nasturtium,
,,136,Pollinator Plants,Normal,1,Coneflower,
,,,,,2,Bee Balm,
,,,,,3,Milkweed,
,,,,,4,Black-Eyed Susan,
,,137,Shade Plants,Normal,1,Hosta,
,,,,,2,Astilbe,
,,,,,3,Heuchera,
,,,,,4,Lungwort,
,,138,Succulents,Normal,1,Aloe,
,,,,,2,Jade Plant,
,,,,,3,Echeveria,
,,,,,4,Haworthia,
,,139,Tropical Trees,Normal,1,Banana Tree,
,,,,,2,Breadfruit,
,,,,,3,Baobab,
,,,,,4,Mango Tree,
,,140,Prairie Plants,Normal,1,Bluestem,
,,,,,2,Coneflower Prairie,
,,,,,3,Indian Grass,
,,,,,4,Goldenrod,
8,Weather & Climate,141,Cloud Types,Normal,1,Cumulus,
,,,,,2,Cirrus,
,,,,,3,Stratus,
,,,,,4,Nimbus,
,,142,Storms,Normal,1,Tornado,
,,,,,2,Hurricane,
,,,,,3,Blizzard,
,,,,,4,Thunderstorm,
,,143,Precipitation,Normal,1,Rain,
,,,,,2,Sleet,
,,,,,3,Hail,
,,,,,4,Drizzle,
,,144,Wind Patterns,Normal,1,Trade Wind,
,,,,,2,Jet Stream,
,,,,,3,Sea Breeze,
,,,,,4,Mountain Breeze,
,,145,Severe Weather,Normal,1,Derecho,
,,,,,2,Sandstorm,
,,,,,3,Ice Storm,
,,,,,4,Dust Devil,
,,146,Climate Zones,Normal,1,Tropical Climate,
,,,,,2,Arid Climate,
,,,,,3,Temperate Climate,
,,,,,4,Polar Climate,
,,147,Seasonal Events,Normal,1,Monsoon,
,,,,,2,Heatwave,
,,,,,3,Cold Snap,
,,,,,4,Chinook,
,,148,Sky Phenomena,Normal,1,Rainbow,
,,,,,2,Aurora,
,,,,,3,Halo,
,,,,,4,Sun Dog,
,,149,Pressure Systems,Normal,1,High Pressure,
,,,,,2,Low Pressure,
,,,,,3,Cyclone,
,,,,,4,Anticyclone,
,,150,Weather Instruments,Normal,1,Barometer,
,,,,,2,Hygrometer,
,,,,,3,Anemometer,
,,,,,4,Rain Gauge,
,,151,Forecast Terms,Normal,1,Front,
,,,,,2,Dew Point,
,,,,,3,Visibility,
,,,,,4,Wind Chill,
,,152,Ocean Patterns,Normal,1,El Nino,
,,,,,2,La Nina,
,,,,,3,Upwelling,
,,,,,4,Gulf Stream,
,,153,Drought Terms,Normal,1,Water Shortage,
,,,,,2,Dust Bowl,
,,,,,3,Dry Spell,
,,,,,4,Soil Cracking,
,,154,Winter Weather,Normal,1,Snowflake,
,,,,,2,Frost,
,,,,,3,Black Ice,
,,,,,4,Snowdrift,
,,155,Summer Weather,Normal,1,Heat Index,
,,,,,2,Humidity,
,,,,,3,Sunshine,
,,,,,4,Thermal Updraft,
,,156,Storm Tracking,Normal,1,Radar,
,,,,,2,Storm Surge,
,,,,,3,Eye Wall,
,,,,,4,Outer Band,
,,157,Cloudy Skies,Normal,1,Overcast,
,,,,,2,Broken Sky,
,,,,,3,Scattered Cloud,
,,,,,4,Fog Bank,
,,158,Mountain Weather,Normal,1,Avalanches,
,,,,,2,Whiteout,
,,,,,3,Cornice,
,,,,,4,Ridge Wind,
,,159,Calm Conditions,Normal,1,Breeze,
,,,,,2,Lull,
,,,,,3,Still Air,
,,,,,4,Light Air,
,,160,Coastal Weather,Normal,1,Sea Fog,
,,,,,2,Marine Layer,
,,,,,3,Rip Current,
,,,,,4,Coastal Drizzle,
9,Space & Universe,161,Planets,Normal,1,Mercury,
,,,,,2,Venus,
,,,,,3,Earth,
,,,,,4,Mars,
,,162,Gas Giants,Normal,1,Jupiter,
,,,,,2,Saturn,
,,,,,3,Uranus,
,,,,,4,Neptune,
,,163,Dwarf Planets,Normal,1,Pluto,
,,,,,2,Ceres,
,,,,,3,Haumea,
,,,,,4,Eris,
,,164,Moons,Normal,1,Io,
,,,,,2,Europa,
,,,,,3,Ganymede,
,,,,,4,Callisto,
,,165,Constellations,Normal,1,Orion,
,,,,,2,Ursa Major,
,,,,,3,Leo,
,,,,,4,Cassiopeia,
,,166,Stars,Normal,1,Red Dwarf,
,,,,,2,White Dwarf,
,,,,,3,Supergiant,
,,,,,4,Neutron Star,
,,167,Galaxies,Normal,1,Milky Way,
,,,,,2,Andromeda,
,,,,,3,Triangulum,
,,,,,4,Whirlpool Galaxy,
,,168,Telescopes,Normal,1,Hubble,
,,,,,2,James Webb,
,,,,,3,Keck,
,,,,,4,Arecibo,
,,169,Spacecraft,Normal,1,Voyager,
,,,,,2,Apollo,
,,,,,3,Soyuz,
,,,,,4,Dragon Capsule,
,,170,Astronaut Gear,Normal,1,Space Suit,
,,,,,2,Helmet,
,,,,,3,Oxygen Tank,
,,,,,4,Glove,
,,171,Rockets,Normal,1,Falcon Heavy,
,,,,,2,Atlas,
,,,,,3,Delta,
,,,,,4,Ariane,
,,172,Satellites,Normal,1,Gps Satellite,
,,,,,2,Weather Satellite,
,,,,,3,Spy Satellite,
,,,,,4,Communication Satellite,
,,173,Space Phenomena,Normal,1,Black Hole,
,,,,,2,Quasar,
,,,,,3,Pulsar,
,,,,,4,Nebula,
,,174,Meteors,Normal,1,Meteor,
,,,,,2,Meteoroid,
,,,,,3,Meteorite,
,,,,,4,Bolide,
,,175,Orbital Terms,Normal,1,Orbit,
,,,,,2,Elliptical Path,
,,,,,3,Escape Velocity,
,,,,,4,Perigee,
,,176,Space Stations,Normal,1,Iss,
,,,,,2,Tiangong,
,,,,,3,Mir,
,,,,,4,Skylab,
,,177,Launch Sites,Normal,1,Cape Canaveral,
,,,,,2,Baikonur,
,,,,,3,Vandenberg,
,,,,,4,Kourou,
,,178,Robotic Landers,Normal,1,Curiosity Rover,
,,,,,2,Perseverance,
,,,,,3,Spirit Rover,
,,,,,4,Insight Lander,
,,179,Space Agencies,Normal,1,Nasa,
,,,,,2,Esa,
,,,,,3,Roscosmos,
,,,,,4,Jaxa,
,,180,Asteroids,Normal,1,Ceres Belt,
,,,,,2,Vesta,
,,,,,3,Pallas,
,,,,,4,Hygiea,
10,Human Body & Health,181,Major Organs,Normal,1,Heart,
,,,,,2,Lungs,
,,,,,3,Liver,
,,,,,4,Kidneys,
,,182,Bones,Normal,1,Femur,
,,,,,2,Tibia,
,,,,,3,Humerus,
,,,,,4,Radius,
,,183,Muscle Groups,Normal,1,Biceps,
,,,,,2,Quadriceps,
,,,,,3,Hamstrings,
,,,,,4,Deltoid,
,,184,Senses,Normal,1,Sight,
,,,,,2,Hearing,
,,,,,3,Taste,
,,,,,4,Smell,
,,185,Immune System,Normal,1,Antibody,
,,,,,2,White Cell,
,,,,,3,Lymph Node,
,,,,,4,Thymus,
,,186,Digestive System,Normal,1,Stomach,
,,,,,2,Intestine,
,,,,,3,Pancreas,
,,,,,4,Gallbladder,
,,187,Respiratory,Normal,1,Trachea,
,,,,,2,Bronchus,
,,,,,3,Diaphragm,
,,,,,4,Alveoli,
,,188,Circulatory,Normal,1,Aorta,
,,,,,2,Vein,
,,,,,3,Capillary,
,,,,,4,Artery,
,,189,Brain Parts,Normal,1,Cerebrum,
,,,,,2,Cerebellum,
,,,,,3,Hippocampus,
,,,,,4,Amygdala,
,,190,Health Check,Normal,1,Blood Pressure,
,,,,,2,Pulse,
,,,,,3,Temperature,
,,,,,4,Respiration,
,,191,First Aid,Normal,1,Bandage,
,,,,,2,Splint,
,,,,,3,Antiseptic,
,,,,,4,Tourniquet,
,,192,Medical Tests,Normal,1,X-Ray,
,,,,,2,Mri,
,,,,,3,Blood Panel,
,,,,,4,Ultrasound,
,,193,Vaccines,Normal,1,Tetanus Shot,
,,,,,2,Flu Shot,
,,,,,3,Measles Vaccine,
,,,,,4,Polio Vaccine,
,,194,Therapies,Normal,1,Physical Therapy,
,,,,,2,Occupational Therapy,
,,,,,3,Speech Therapy,
,,,,,4,Respiratory Therapy,
,,195,Health Professions,Normal,1,Nurse,
,,,,,2,Surgeon,
,,,,,3,Therapist,
,,,,,4,Paramedic,
,,196,Dental Care,Normal,1,Tooth,
,,,,,2,Molar,
,,,,,3,Gum,
,,,,,4,Enamel,
,,197,Fitness Gear,Normal,1,Dumbbell,
,,,,,2,Yoga Mat,
,,,,,3,Resistance Band,
,,,,,4,Kettlebell,
,,198,Diet Items,Normal,1,Multivitamin,
,,,,,2,Protein Bar,
,,,,,3,Electrolyte Drink,
,,,,,4,Meal Replacement,
,,199,Medical Devices,Normal,1,Stethoscope,
,,,,,2,Thermometer,
,,,,,3,Blood Cuff,
,,,,,4,Pulse Oximeter,
,,200,Wellness,Normal,1,Meditation Cushion,
,,,,,2,Foam Roller,
,,,,,3,Sleep Mask,
,,,,,4,Aroma Diffuser,
11,Clothing & Fashion,201,Casual Tops,Normal,1,T-Shirt,
,,,,,2,Polo Shirt,
,,,,,3,Henley,
,,,,,4,Tank Top,
,,202,Formal Wear,Normal,1,Tuxedo,
,,,,,2,Evening Gown,
,,,,,3,Dress Shirt,
,,,,,4,Cocktail Dress,
,,203,Footwear,Normal,1,Sneaker,
,,,,,2,Loafer,
,,,,,3,Ankle Boot,
,,,,,4,Sandals,
,,204,Outerwear,Normal,1,Trench Coat,
,,,,,2,Puffer Jacket,
,,,,,3,Blazer,
,,,,,4,Raincoat,
